name,protein,carbohydrates,fat
chicken breast,31,0,3.6
eggs,13,1.1,11
banana,1.1,23,0.3
protein powder,73,6.3,2.4
almonds,21,22,49
mixed veggies,2.9,13,0.2
cottage cheese,11,3.4,4.3
bread,9,49,3.2
oats,17,66,7
avocado,2,9,15
smoked salmon,19.3,0.2,10.7
bacon steak,17,1,25
soy milk,3,2.5,1.8
lactose free plain yoghurt,3.7,3.9,3.8
vanilla soy yoghurt,3.7,9.5,2.2
low fat yoghurt,5.2,6.3,1.5
rotisserie chicken,27.5,0,8.2
lettuce,1.4,2.9,0.2
tomato,0.9,3.9,0.2
tuna,30,0,6
bread,11,54,3.3
strawberries,1,8,0
Babybel cheese,25,0,30
